feature,feat_class,pred_class,x,y,fdr_pval_byclass,resp_class,error_type
FT1314,Bad,Bad,-0.06545454545454543,0.05333333333333323,0.9111365485677579,All equal,Bad peak avoided
FT1315,Bad,Bad,-0.07999999999999996,0.05575757575757567,0.8674524610357536,All equal,Bad peak avoided
FT1316,Bad,Bad,-0.07636363636363641,0.026060606060605895,0.9126758464291976,All equal,Bad peak avoided
FT1317,Bad,Bad,-0.11181818181818182,-0.018333333333333313,0.8645222956220753,All equal,Bad peak avoided
FT1318,Good,Good,0.24696969696969706,0.3965151515151515,1.1332432989485438e-9,15m = DCM > 175m,Good peak found
FT1319,Good,Good,0.5272727272727273,-0.3781818181818182,3.3378213754270514e-15,DCM > 175m > 15m,Good peak found
FT1320,Good,Good,0.27333333333333343,0.4712121212121212,1.9681446471705867e-12,15m = DCM > 175m,Good peak found
FT1321,Good,Bad,0.25515151515151513,0.17787878787878775,0.0036620098902778024,15m = DCM > 175m,Good peak missed
FT1322,Bad,Bad,-0.12363636363636366,-0.09515151515151521,0.6333170809571894,Hard to tell,Bad peak avoided
FT1327,Bad,Bad,-0.023636363636363678,-0.05727272727272714,0.9455707347548751,All equal,Bad peak avoided
FT1328,Bad,Bad,-0.276060606060606,-0.15530303030303028,0.0034313230843830795,15m = DCM < 175m,Bad peak avoided
FT1330,Bad,Bad,-0.20606060606060606,-0.1836363636363636,0.014956714503371403,15m = DCM < 175m,Bad peak avoided
FT1331,Bad,Bad,-0.1715151515151515,-0.21363636363636362,0.01232554790503864,15m = DCM < 175m,Bad peak avoided
FT1337,Bad,Bad,-0.0636363636363636,-0.010000000000000009,0.9602079996941304,All equal,Bad peak avoided
FT1338,Bad,Bad,-0.08060606060606057,-0.028181818181818086,0.9126758464291976,All equal,Bad peak avoided
FT1339,Bad,Bad,-0.055151515151515174,0.007575757575757569,0.9693070286621833,All equal,Bad peak avoided
FT1340,Good,Good,0.10606060606060597,0.4075757575757575,4.328833474298221e-8,15m = DCM > 175m,Good peak found
FT1341,Bad,Bad,0.044242424242424194,-0.043939393939393945,0.9542126988846561,All equal,Bad peak avoided
FT1342,Bad,Bad,-0.11636363636363634,-0.010303030303030258,0.8568722947591318,All equal,Bad peak avoided
FT1345,Bad,Bad,-0.08424242424242423,-0.034242424242424185,0.8977911974448339,All equal,Bad peak avoided
FT1346,Bad,Bad,-0.06666666666666665,-0.025454545454545396,0.9455707347548751,All equal,Bad peak avoided
FT1347,Bad,Bad,0.0121212121212122,-0.05878787878787861,0.9499194929590716,All equal,Bad peak avoided
FT1348,Bad,Bad,-0.07030303030303031,-0.00121212121212122,0.9455707347548751,All equal,Bad peak avoided
FT1349,Bad,Bad,-0.09090909090909094,-0.00121212121212122,0.9051294862329562,All equal,Bad peak avoided
FT1350,Bad,Bad,-0.05939393939393944,0.016969696969696857,0.9641063800149108,All equal,Bad peak avoided
FT1351,Bad,Bad,-0.033939393939393936,-0.0072727272727273196,0.9914008451586125,All equal,Bad peak avoided
FT1352,Bad,Bad,-0.06606060606060604,-0.05909090909090908,0.8887590134119758,All equal,Bad peak avoided
FT1353,Bad,Bad,-0.042424242424242364,0.05212121212121201,0.9455707347548751,All equal,Bad peak avoided
FT1354,Bad,Bad,-0.043636363636363584,0.01696969696969708,0.9865360476130436,All equal,Bad peak avoided
FT1357,Bad,Bad,-0.07090909090909092,-0.0015151515151514694,0.9455707347548751,All equal,Bad peak avoided
FT1358,Bad,Bad,-0.09151515151515155,-0.08999999999999986,0.8093060190188877,All equal,Bad peak avoided
FT1359,Bad,Bad,-0.11030303030303035,-0.055151515151515174,0.8568722947591318,All equal,Bad peak avoided
FT1360,Bad,Bad,-0.12727272727272732,-0.05757575757575761,0.7799981088215006,All equal,Bad peak avoided
FT1362,Bad,Bad,-0.052121212121212124,0.015757575757575637,0.9693904539387511,All equal,Bad peak avoided
FT1364,Bad,Bad,-0.05939393939393944,-0.043030303030302974,0.9283829551453834,All equal,Bad peak avoided
FT1365,Bad,Bad,-0.032121212121212106,-0.044545454545454444,0.9642104645357824,All equal,Bad peak avoided
FT1366,Bad,Bad,-0.06606060606060604,-0.05545454545454542,0.899411225465518,All equal,Bad peak avoided
FT1367,Bad,Bad,-0.06484848484848482,-0.029393939393939528,0.9455707347548751,All equal,Bad peak avoided
FT1368,Bad,Bad,-0.06060606060606066,-0.033939393939393936,0.9455707347548751,All equal,Bad peak avoided
FT1369,Bad,Bad,-0.11696969696969695,-0.06757575757575762,0.7910655252270364,All equal,Bad peak avoided
FT1370,Bad,Bad,-0.012121212121212088,-0.033333333333333215,0.9914008451586125,All equal,Bad peak avoided
FT1371,Bad,Bad,-0.08060606060606057,-0.08393939393939398,0.8568722947591318,All equal,Bad peak avoided
FT1372,Bad,Bad,-0.056363636363636394,-0.09303030303030302,0.8568722947591318,All equal,Bad peak avoided
FT1373,Good,Bad,0.06666666666666665,0.4363636363636365,6.84441124561559e-8,15m > DCM > 175m,Good peak missed
FT1374,Good,Good,0.009090909090909038,0.47484848484848463,2.8424348720318926e-10,15m > DCM > 175m,Good peak found
FT1375,Good,Good,-0.08424242424242423,-0.3384848484848484,9.313988850805054e-6,15m = DCM < 175m,Good peak found
FT1376,Good,Good,0.018181818181818077,-0.34303030303030324,1.1194359952607536e-5,15m < DCM < 175m,Good peak found
FT1377,Bad,Bad,0.08545454545454545,0.12454545454545451,0.6227831650030009,All equal,Bad peak avoided
FT1380,Bad,Bad,-0.038787878787878816,-0.144848484848485,0.5751126570047284,Hard to tell,Bad peak avoided
FT1381,Bad,Bad,0.10303030303030303,0.00848484848484854,0.8674524610357536,All equal,Bad peak avoided
FT1382,Good,Good,0.08424242424242423,0.031212121212121247,0.5962528926154064,All equal,Good peak found
