feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FK_POS_1087,198.0986240516091,4.871315002441406,NA,NA,NA,FK,pos
FK_POS_1088,198.18531840401369,1.8105092366536464,NA,NA,NA,FK,pos
FK_POS_1120,204.08676796959924,6.552527364095052,NA,NA,NA,FK,pos
FK_POS_1132,205.07078529782115,9.732530721028644,NA,NA,NA,FK,pos
FK_POS_1133,205.07071260881375,9.216480509440103,NA,NA,NA,FK,pos
FK_POS_1140,206.13880600056393,5.1447191874186196,Dexpanthenol,NA,NA,FK,pos
FK_POS_1142,207.0615406957719,5.5139620463053385,NA,NA,NA,FK,pos
FK_POS_1143,207.10563077096725,2.3906355539957684,NA,NA,NA,FK,pos
FK_POS_1144,207.141972050479,2.3772555033365887,NA,NA,NA,FK,pos
FK_POS_1151,209.04794989523495,9.915108235677083,NA,NA,NA,FK,pos
FK_POS_1155,209.07718918197773,6.312502034505209,NA,NA,NA,FK,pos
FK_POS_1156,209.08445276662016,6.671580251057943,NA,NA,NA,FK,pos
FK_POS_1187,218.13877908920068,9.775421651204429,O-Propionylcarnitine,NA,NA,FK,pos
FK_POS_1193,219.14195243518827,4.2970329284667965,NA,NA,NA,FK,pos
FK_POS_1194,220.0638318784672,10.097709147135417,NA,NA,NA,FK,pos
FK_POS_1195,220.0815569699776,2.49924799601237,O-Succinylhomoserine?,NA,NA,FK,pos
FK_POS_1201,222.0972596871916,9.69153849283854,N-Acetyl-D-glucosamine,NA,NA,FK,pos
FK_POS_1204,223.0938208638259,5.415281168619791,NA,NA,NA,FK,pos
FK_POS_1205,223.12463608228165,1.9262088775634765,NA,NA,NA,FK,pos
FK_POS_1235,227.11391956325664,11.081708272298178,Carnosine,NA,NA,FK,pos
FK_POS_1236,227.11381951661735,10.579606628417968,NA,NA,NA,FK,pos
FK_POS_1242,232.11797847028544,8.37045923868815,NA,NA,NA,FK,pos
FK_POS_1265,234.1590666140468,3.4979303995768225,NA,NA,NA,FK,pos
FK_POS_1286,236.1492688213607,8.617018636067709,NA,NA,NA,FK,pos
FK_POS_1315,241.1294448633912,9.167150370279948,Anserine,NA,NA,FK,pos
FK_POS_1316,241.1295197224959,9.688013712565104,NA,NA,NA,FK,pos
FK_POS_1323,244.09285587629577,6.507144165039063,Cytidine,NA,NA,FK,pos
FK_POS_1324,244.11150313815267,11.097499084472656,NA,NA,NA,FK,pos
FK_POS_1330,245.11327456422467,9.443178304036458,NA,NA,NA,FK,pos
FK_POS_1334,246.09721834947712,8.211125691731771,NA,NA,NA,FK,pos
FK_POS_1335,246.09719901218497,7.6400400797526045,NA,NA,NA,FK,pos
FK_POS_1356,251.12508372050195,4.3789014180501304,NA,NA,NA,FK,pos
FK_POS_1359,252.10899433745732,3.0024724324544274,Deoxyadenosine/Muramic acid,NA,NA,FK,pos
FK_POS_1362,252.1441539748006,9.2364013671875,NA,NA,NA,FK,pos
FK_POS_1372,255.09098665020736,4.9484807332356775,NA,NA,NA,FK,pos
FK_POS_1373,258.110214476757,9.654432169596356,Glycerophosphocholine,NA,NA,FK,pos
FK_POS_1381,260.1128610431599,2.474880345662435,NA,NA,NA,FK,pos
FK_POS_1382,260.1644915728591,1.7939390818277992,2-Heptyl-3-hydroxy-quinolone,NA,NA,FK,pos
FK_POS_1405,268.1040818484157,3.545255406697591,Adenosine,NA,NA,FK,pos
FK_POS_1418,269.0881063910641,6.039759318033855,Inosine,NA,NA,FK,pos
FK_POS_1419,269.1053179802186,9.52671407063802,NA,NA,NA,FK,pos
FK_POS_1423,273.089052430583,3.5360036214192707,NA,NA,NA,FK,pos
FK_POS_1439,275.11794057460355,1.8540995279947916,NA,NA,NA,FK,pos
FK_POS_1450,284.0989128715262,7.489156087239583,Guanosine,NA,NA,FK,pos
FK_POS_1451,285.1444530824209,6.7797503153483065,NA,NA,NA,FK,pos
FK_POS_1452,286.1133578848869,10.006781514485676,NA,NA,NA,FK,pos
FK_POS_1453,289.1334713011329,1.788470458984375,NA,NA,NA,FK,pos
FK_POS_1454,289.1393181084616,8.942589314778646,NA,NA,NA,FK,pos
FK_POS_1456,290.13459116642616,9.914917500813802,Ophthalmic acid,NA,NA,FK,pos
FK_POS_1475,295.128797569174,7.907201131184896,Glutamylphenylalanine,NA,NA,FK,pos
FK_POS_1509,298.09666262917483,2.384862009684245,NA,NA,NA,FK,pos
FK_POS_1558,314.09170211417415,3.962385686238606,NA,NA,NA,FK,pos
FK_POS_1578,329.1342304433334,8.980779012044271,NA,NA,NA,FK,pos
FK_POS_1579,330.0597291055936,5.786863708496094,NA,NA,NA,FK,pos
FK_POS_1582,333.12923741001487,10.141599527994792,NA,NA,NA,FK,pos
FK_POS_1619,345.0781351990093,10.563719177246094,Thiamine monophosphate,NA,NA,FK,pos
FK_POS_1620,346.05476031938207,9.635549926757813,NA,NA,NA,FK,pos
FK_POS_1621,347.1448286453636,9.375792439778646,NA,NA,NA,FK,pos
FK_POS_1622,347.1450233178782,6.268218739827475,NA,NA,NA,FK,pos
FK_POS_1631,352.2329316511748,1.7593645731608072,NA,NA,NA,FK,pos
FK_POS_1699,385.1286947179492,8.822920735677084,S-Adenosylhomocysteine,NA,NA,FK,pos
FK_POS_1700,386.0422143742244,3.799587631225586,NA,NA,NA,FK,pos
FK_POS_1701,388.2542037068019,1.7893711090087892,NA,NA,NA,FK,pos
FK_POS_1709,401.1247935156536,5.211473592122396,NA,NA,NA,FK,pos
FK_POS_1717,413.77816099613005,2.956006876627604,NA,NA,NA,FK,pos
FK_NEG_0056,71.0126305241181,4.141753387451172,NA,NA,NA,FK,neg
FK_NEG_0303,99.00759267875746,2.2949371337890625,NA,NA,NA,FK,neg
FK_NEG_0327,102.02659523335726,5.974408467610677,NA,NA,NA,FK,neg
FK_NEG_0336,104.0422780548609,6.781758117675781,NA,NA,NA,FK,neg
FK_NEG_0386,108.99535817771468,4.383607737223307,Ethanesulfonic acid,NA,NA,FK,neg
FK_NEG_0387,109.02836426576052,4.018333689371745,NA,NA,NA,FK,neg
FK_NEG_0428,116.92745696055724,15.815594482421874,NA,NA,NA,FK,neg
FK_NEG_0447,119.01613558656696,3.0941678365071614,NA,NA,NA,FK,neg
FK_NEG_0456,122.02371029900416,6.498295338948568,NA,NA,NA,FK,neg
FK_NEG_0476,123.01106192293202,3.0527252197265624,1-Propanesulfonate,NA,NA,FK,neg
FK_NEG_0477,124.00634993297388,9.806722513834636,Taurine,NA,NA,FK,neg
FK_NEG_0478,124.99036109319836,6.136057281494142,Isethionic acid,NA,NA,FK,neg
FK_NEG_0483,126.90399335538316,4.812976582845052,NA,NA,NA,FK,neg
FK_NEG_0568,134.04620174205454,3.842767588297526,Adenine,NA,NA,FK,neg
FK_NEG_0618,137.0234391972528,6.732299041748047,Salicylic acid,NA,NA,FK,neg
FK_NEG_0625,138.02204486066924,11.156461079915363,3-Aminopropanesulfonate,NA,NA,FK,neg
FK_NEG_0626,138.02205137723786,7.835289764404297,NA,NA,NA,FK,neg
FK_NEG_0630,138.96964949316958,12.985044352213542,NA,NA,NA,FK,neg
FK_NEG_0631,138.9697004071856,13.938035074869791,Sulfoacetic acid,NA,NA,FK,neg
FK_NEG_0654,141.0659906888364,8.354297383626301,Ectoine,NA,NA,FK,neg
FK_NEG_0658,144.06567936936636,3.0947064717610684,Butyrylglycine,NA,NA,FK,neg
FK_NEG_0670,145.0133167457326,12.047216796875,2-Ketoglutaric acid,NA,NA,FK,neg
FK_NEG_0680,145.06094579178148,10.765924580891928,NA,NA,NA,FK,neg
FK_NEG_0681,145.06095562396604,10.023600260416666,NA,NA,NA,FK,neg
FK_NEG_0689,146.04496815191766,10.921553548177084,NA,NA,NA,FK,neg
FK_NEG_0690,146.04495769358533,7.30046641031901,NA,NA,NA,FK,neg
FK_NEG_0694,147.0112341591022,2.15320250193278,2-keto-4-methylthiobutyric acid,NA,NA,FK,neg
FK_NEG_0723,149.0268771343563,2.6769334157307942,2-Hydroxy-4-(methylthio)butyric acid,NA,NA,FK,neg
FK_NEG_0724,150.0412542813566,6.681722513834635,Guanine,NA,NA,FK,neg
FK_NEG_0727,150.96976932031748,12.664361572265625,NA,NA,NA,FK,neg
FK_NEG_0728,150.96976699818686,13.308650716145833,NA,NA,NA,FK,neg
FK_NEG_0733,153.0184131512381,4.0234934488932295,"2,5-Dihydroxybenzoic acid",NA,NA,FK,neg
FK_NEG_0737,155.0089897328265,6.871557871500651,Orotic acid,NA,NA,FK,neg
FK_NEG_0764,156.9982780011199,11.90911610921224,NA,NA,NA,FK,neg
FK_NEG_0799,166.01718995983003,4.833482615152994,N-Acetyltaurine,NA,NA,FK,neg
FK_NEG_0810,167.9964421368399,11.927817789713542,L-Cysteic acid,NA,NA,FK,neg
FK_NEG_0814,171.04780001210543,2.03979123433431,NA,NA,NA,FK,neg
FK_NEG_0815,172.00668365067577,6.712617746988932,Sulfanilic acid,NA,NA,FK,neg
FK_NEG_0862,187.10825406675565,8.557419840494791,NA,NA,NA,FK,neg
FK_NEG_0863,188.05588135692744,11.302630106608072,N-Acetyl-L-glutamic acid,NA,NA,FK,neg
FK_NEG_0905,203.8685527666775,3.0092034657796227,NA,NA,NA,FK,neg
FK_NEG_0906,204.1237239633924,2.3712459564208985,NA,NA,NA,FK,neg
FK_NEG_0910,205.03583668926225,2.074151865641276,Lipoic acid,NA,NA,FK,neg
FK_NEG_0974,218.78867797947152,8.075027974446614,NA,NA,NA,FK,neg
FK_NEG_0985,225.09907851743836,11.042409769694013,Carnosine,NA,NA,FK,neg
FK_NEG_1006,239.11482883398293,9.698171488444013,Anserine,NA,NA,FK,neg
FK_NEG_1007,242.07824672507388,6.949891153971355,Cytidine,NA,NA,FK,neg
FK_NEG_1008,243.0621398395549,4.852922566731771,Uridine,NA,NA,FK,neg
FK_NEG_1009,244.08270575222667,8.817743937174479,NA,NA,NA,FK,neg
FK_NEG_1021,253.0930003815137,8.643931070963541,NA,NA,NA,FK,neg
FK_NEG_1047,258.15011995296277,1.611325709025065,NA,NA,NA,FK,neg
FK_NEG_1048,260.7408311209873,7.543943277994791,NA,NA,NA,FK,neg
FK_NEG_1051,266.7345483643213,7.523056030273437,NA,NA,NA,FK,neg
FK_NEG_1052,267.0724440881526,10.056936645507813,NA,NA,NA,FK,neg
FK_NEG_1053,267.07238980088664,10.82147979736328,NA,NA,NA,FK,neg
FK_NEG_1054,267.073765912122,6.511148325602213,Inosine,NA,NA,FK,neg
FK_NEG_1075,281.05247095703703,1.83480707804362,NA,NA,NA,FK,neg
FK_NEG_1076,282.0846268797111,7.8982185363769535,Guanosine,NA,NA,FK,neg
FK_NEG_1095,287.11950835873876,1.732751973470052,NA,NA,NA,FK,neg
FK_NEG_1096,288.1204019207945,10.652359517415364,NA,NA,NA,FK,neg
FK_NEG_1098,292.89516888081494,13.138741048177083,NA,NA,NA,FK,neg
FK_NEG_1099,293.1146835709706,8.524360148111978,Glutamylphenylalanine,NA,NA,FK,neg
FK_NEG_1119,305.0881559762628,12.625009155273435,NA,NA,NA,FK,neg
FK_NEG_1137,316.7392440226866,5.117953491210938,NA,NA,NA,FK,neg
FK_NEG_1139,317.05497830999764,11.48390401204427,NA,NA,NA,FK,neg
