"mz_rt"	"1_extr-ctrl--extr-ctrl-_1"	"2_extr-ctrl--extr-ctrl-_2"	"3_extr-ctrl--extr-ctrl-_3"	"4_extr-ctrl--extr-ctrl-_4"	"10_exudate-0d_2"	"11_exudate-0d_3"	"12_exudate-0d_4"	"9_exudate-0d_1"	"25_exudate-12d_1"	"26_exudate-12d_2"	"27_exudate-12d_3"	"28_exudate-12d_4"	"13_exudate-3d_1"	"14_exudate-3d_2"	"15_exudate-3d_3"	"16_exudate-3d_4"	"17_exudate-6d_1"	"18_exudate-6d_2"	"19_exudate-6d_3"	"20_exudate-6d_4"	"21_exudate-9d_1"	"22_exudate-9d_2"	"23_exudate-9d_3"	"24_exudate-9d_4"	"5_exudate-med-ctrl-_1"	"6_exudate-med-ctrl-_2"	"7_exudate-med-ctrl-_3"	"8_exudate-med-ctrl-_4"	"33_pellet-0d_1"	"34_pellet-0d_2"	"35_pellet-0d_3"	"36_pellet-0d_4"	"49_pellet-12d_1"	"50_pellet-12d_2"	"51_pellet-12d_3"	"52_pellet-12d_4"	"37_pellet-3d_1"	"38_pellet-3d_2"	"39_pellet-3d_3"	"40_pellet-3d_4"	"41_pellet-6d_1"	"42_pellet-6d_2"	"43_pellet-6d_3"	"44_pellet-6d_4"	"45_pellet-9d_1"	"46_pellet-9d_2"	"47_pellet-9d_3"	"48_pellet-9d_4"	"29_pellet-med-ctrl-_1"	"30_pellet-med-ctrl-_2"	"31_pellet-med-ctrl-_3"	"32_pellet-med-ctrl-_4"
"460.16425_9.85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7631874.32167692	5914565.78587686	2889340.86671329	7372728.80821143	64698.0302306414	15391.3399222319	NA	59348.304870526	622811.933734588	74753.9532719231	2504960.23308622	2130316.72865914	4596787.47877043	94074.8306852567	2570720.08452022	973147.006009313	NA	NA	NA	NA
"461.15231_6.16"	NA	NA	NA	NA	NA	NA	NA	NA	26314271.1834047	17112851.0983516	16948905.6339736	14709264.5122241	103663.466517591	40025.5459549427	136040.402697945	115069.60338541	2063328.19693627	1781015.7818147	2280109.2291264	2038983.89894484	7274253.92034273	9474870.60670733	8490965.04928285	5498817.99569678	NA	NA	NA	NA	NA	NA	NA	NA	NA	51436.9793035485	NA	299379.224493201	NA	NA	NA	NA	NA	12440.8505802996	NA	NA	NA	29718.6186573228	NA	NA	NA	NA	NA	NA
"463.20408_2.45"	NA	NA	NA	NA	232940.587835245	NA	294851.171263006	94431.8310428934	40805802.0265844	36566076.153553	27943882.0535854	24598345.0504535	2932553.53927181	2760848.31755807	2591321.8977285	2280466.95796683	26466211.8223922	24013088.5782326	25269417.7641392	21398304.5036517	29549587.3270891	43057449.1363508	36370255.9263303	27085446.676175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32151.3680530351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"466.1746_6.38"	17329186.1025756	1365161.93688532	11963752.7171268	10979591.9989266	13901805.9838557	6483418.41636631	11282781.4316997	13377967.1225942	20125656.470561	14829794.0904923	14961737.9876436	12404800.3045041	13324545.3891989	5740775.56227812	3119864.27492173	12707075.8573959	8230305.84041503	12541314.4588448	6382007.26386444	1098517.15369759	18627660.3407502	20527518.0088778	12029176.3012781	21889253.3774178	12632239.1515678	8496301.49896931	8606462.64199997	14781179.9246249	7524732.56917615	1773997.42357569	479269.08631686	7126764.51316976	2057138.12557527	1555527.13994427	58120.4625158178	2263970.72478315	4629537.77085932	4496101.81545573	2121198.35803204	2166444.39036774	3065387.01209245	1110310.27212692	2442307.40710611	4034335.58241817	1836835.53025056	1323107.48712634	3066850.54593074	2456618.33264399	3502287.24205143	7410277.91804464	978799.173442464	4339941.83094166
"466.17522_6.36"	15038996.6428132	2675307.41252817	11529049.0930262	10627061.1797145	14067518.7569346	6219617.70012598	10916566.9291034	13403413.0744738	20589781.5445445	4800673.84088883	14946401.3804134	12552339.9284479	13179464.6006825	9775091.29065724	11875955.9189197	12945022.3490916	12061943.8455156	15749433.5440815	737853.208820343	10426284.6864163	17739214.03006	6807150.8170505	12426231.5182544	22219475.5728131	12687611.1276524	9445852.78846021	8751313.03268877	12240681.9479137	7286630.84792714	5098540.85911552	2969184.6655155	6895688.9125439	2050235.48052728	1372070.4795616	57381.3924251412	2580683.4387939	6233002.06542184	5434702.1669404	3493825.15797002	2959488.27304321	2594768.57390769	540030.027253787	3452439.91820745	4010220.85106699	3280242.16160457	1071948.34321611	3022194.01844851	1792913.62642548	5600792.57906126	7075872.52548277	4052169.98271607	5686777.63151062
"473.19551_9.85"	5749777.12983731	8892675.86098275	2652767.89011168	2212522.71489346	5728059.66594682	5935070.04666698	1666600.44089112	6193957.19696231	5731827.86011735	91563.0313488245	2813755.05147034	3509800.4535999	5794954.68661861	6981205.25303131	7704295.37588838	4320024.58153177	6803003.99604092	6195081.64310144	265693.699957788	5771874.08293559	2288872.31867182	1381383.19313586	3359296.655449	5437027.43316123	5851339.96655602	6222833.20515736	4412003.44162315	5475922.15245605	5346647.68484134	2729637.83269691	2835477.91274023	2862646.66293257	1863155.34015646	2132170.43957516	542629.216334093	1865986.37520391	6133359.81056695	4350873.84641579	5904868.52670367	6900356.6033074	2085673.82975313	27550.1685987711	5069601.55124051	4521938.53333586	4268551.56731236	857848.566826284	3285349.70150065	898535.116738081	3144671.04122511	952689.700488031	7433023.64616877	3177134.47655898
"473.31061_6.74"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21647792.3785632	27169806.6989894	29984154.7670525	24787540.9498824	404368.420024849	184351.836033962	163755.566770646	260011.935403319	2529875.89207998	2921894.89288522	5153951.53554787	3369224.5088267	5946957.89410238	17718940.9805028	5873076.0216416	13060090.2294122	NA	NA	NA	NA
"475.11584_10.17"	10393680.5527113	9670081.89115701	11432841.4588495	10163766.4230857	10029623.3312533	10259898.5773112	11582923.3744276	9077872.51390393	7565568.74560215	7381334.75824679	7855806.45571379	7591812.24497914	9933479.22123696	9232212.18872566	3877405.45194963	10490431.2335375	8619104.6099213	9763083.08401825	9496045.08152366	4186811.50938709	9718826.56114861	8940051.73334743	9034471.12444201	7595599.54963377	9196197.55482446	8655996.50142503	11198021.3228686	10395415.6288476	6330288.47056091	6229077.11129925	2987748.76675469	10447945.6166525	3337558.70980157	4226345.31889618	3466593.92401006	4943873.66951239	10212249.6513317	10924947.9168648	9236585.9153955	8994722.07581863	8743558.78390996	7617341.99107538	8890891.85547858	10345932.9372325	4910319.23200432	6169776.30393848	6103027.01726098	6710459.26889316	6199479.89394241	9777369.4510663	4678410.09263526	7597814.99470129
"475.19975_4.98"	NA	NA	NA	NA	169427.29184582	NA	101481.216376957	56883.4847637176	14057393.7918037	4696509.7050995	11603185.6881951	11001669.5018706	1680662.89492753	1174695.45461851	1616143.47800872	1763841.84497618	13287450.0370731	12150227.4176322	2196197.88874142	8087384.03025004	10642809.3762649	9696800.748311	15399847.3261938	8842768.77047367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"488.35768_2.83"	21824.3287924041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227343104.936402	192932376.922214	1465204349.79966	127947874.742508	520505.268325675	95839.735752251	NA	134997.082862939	24098315.8961356	3904186.12377368	19096183.2029899	13034422.3371737	101707221.130846	29749500.8423315	116873660.988174	88187991.5324727	NA	NA	NA	NA
