compound_name	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML
Valine	0.3425	0.3451	0.5568	0.3877	0.01483	0.01173	0.1437	0.1412	0.09174	0.2128	0.04256	0.09903	0.09557	0.08876	0.1107	0.02067	0.2147	0.0427	0.06564	0.4253	0.131	0.2096	0.125	0.02521	0.166	0.2248	0.0494	0.08154	0.06129	0.09688	0.05795	0.09872	0.1042	0.005204	0.1347	0.06655	0.1232	0.1198	0.003662	0.084	0.1826
Melamine	2.306e-05	1.798e-05	0.0009066	0.0008739	0.2965	0.3365	0.319	0.3227	0.0008193	0.0008766	0.006133	0.003952	0.003492	0.004669	0.004323	0.003491	0.00465	0.001037	0.00608	0.001327	0.001182	0.000603	0.002691	0.0005267	0.000574	0.0004426	0.0002967	0.0003662	0.0007105	0.009645	0.004462	0.01229	0.007046	0.002709	0.003874	0.002319	0.0008477	0.00786	0.00266	0.002644	0.02081
N-Acetyl-mannosamine	36.48	9.003	0.4249	0.4427	0.002592	0	0.005218	0.0038	0.00443	0.003877	8.073e-05	0.001891	0.001967	0.001251	0.001997	0.001739	0.002022	0.00412	0.001976	0.003628	0.001491	0.003118	0.00176	0.002188	0.003567	0.003394	0.001509	0.000807	0.0008073	0.001597	0.00183	0.002002	0.002755	0.002288	0.001161	0.0006158	0.001685	0.002061	0.001285	0.001868	0.003178
N-6-Trimethyllysine	0	0	0.00442	0.002696	0.2838	0.2572	0.3585	0.2888	0.004593	0.002702	1.819e-05	0.0023	0.001769	0.001818	0.001801	0.001583	0.001465	0.001907	0.001415	0.003648	0.001404	0.01067	0.001842	0.001777	0.001693	0.002853	0.001437	0.001744	0.001697	0.00109	0.0007306	0.00101	0.001272	0.001289	0.001209	0.00116	0.002053	0.004304	0.0007301	0.00128	0.001686
N6-Acetyllysine	0.5098	0.412	0.3512	0.2902	0.0001771	0	0.001578	0.0008273	0.000867	0.0005581	8.7e-05	0.00149	0.001001	0.00258	0.0001211	0.002794	0.003306	0.003843	0.0008773	0.002896	0.001345	0.00349	0.002599	0.002344	0.001973	0.002686	0.001526	0.002325	0.002184	0.00154	0.001819	0.00178	0.002699	0.003434	0.003403	0.001318	0.003389	0.002953	0.001964	0.004769	0.005
N6-Methyladenine	5.447e-06	5.684e-05	1.506e-05	2.81e-05	0.2868	0.3435	0.3065	0.3336	1.59e-05	7.117e-05	1.055e-05	4.236e-05	3.365e-05	5.287e-05	4.596e-05	7.632e-05	5.848e-05	2.449e-05	4.719e-05	3.385e-05	3.171e-05	8.907e-05	5.878e-05	4.747e-05	4.29e-05	1.721e-05	6.459e-05	3.929e-05	3.133e-05	3.384e-05	4.858e-05	2.413e-05	2.544e-05	6.954e-05	9.063e-05	9.25e-05	6.971e-05	4.99e-05	3.717e-05	6.701e-05	4.783e-05
Nicotinic acid	0	0	0.0168	0.01213	0.332	0.3027	0.3521	0.3164	0.01699	0.01154	0	0.005422	0.004613	0.003783	0.006016	0.003573	0.00338	0.009967	0.00524	0.01728	0.0008056	0.006938	0.002672	0.006338	0.006328	0.01567	0.001997	0.006191	0.001473	0.001623	0.001609	0.02565	0.002425	0.001349	0.001034	0.00134	0.003752	0.006307	0.0005778	0.002068	0.002002
CAR 2:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001729	0.002095	0.002074	0.002014	0.002352	0.002025	0.001783	0.002113	0.001092	0.006241	0.0008674	0.002392	0.001098	0.001467	0.0014	0.003252	0.0009712	0.001233	0.001186	0.001701	0.001063	0.0009523	0.002294	0.002161	0.002241	0.0008532	0.001337	0.006711	0.001261	0.001596	0.002252
Proline betaine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003464	0.007912	0.008194	0.007965	0.008824	0.008406	0.008436	0.01244	0.008598	0.01245	0.003641	0.01077	0.005354	0.008083	0.01475	0.02514	0.00411	0.005644	0.005318	0.006147	0.005788	0.005754	0.005096	0.004075	0.004883	0.005067	0.007827	0.01109	0.00443	0.006025	0.007285
Sarcosine	0.01039	0.007272	0.02136	0.01135	0.7338	0.6166	0.3835	0.2828	0.01538	0.01095	0.000107	0.01518	0.02338	0.01327	0.02209	0.0205	0.0272	0.02843	0.01421	0.03496	0.01414	0.04958	0.02	0.03611	0.02039	0.06766	0.008257	0.01414	0.01426	0.01755	0.01709	0.01844	0.01104	0.007866	0.01089	0.0175	0.02844	0.02255	0.01135	0.01148	0.01212
Trigonelline	NA	NA	0.11	0.1228	NA	NA	0.06963	0.06446	0.05299	0.05282	0.001857	0.04431	0.04345	0.04439	0.04203	0.04319	0.04547	0.05203	0.03935	0.1659	0.01508	0.05507	0.032	0.04331	0.06587	0.1097	0.01575	0.02551	0.01986	0.04779	0.04216	0.04333	0.01797	0.01959	0.0221	0.03289	0.04277	0.06394	0.02188	0.02824	0.03588
Trimethylamine N-oxide	NA	NA	0.4953	0.5455	NA	NA	0.04926	0.04694	0.04509	0.04194	0.004457	1.027	1.04	0.9738	1.134	1.088	1.075	0.2263	0.2292	6.207	0.1979	1.44	0.4076	0.5999	0.966	3.426	0.1431	0.3527	0.2829	0.6494	0.2359	0.214	0.1808	0.253	0.2356	0.2007	0.268	1.452	0.1825	0.195	0.3965
Turicine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003035	0.009618	0.01014	0.009707	0.00967	0.009558	0.009303	0.01942	0.01037	0.0177	0.004553	0.01353	0.006683	0.009565	0.01575	0.02429	0.004447	0.007181	0.005801	0.006355	0.006807	0.006115	0.009083	0.007091	0.007591	0.005762	0.01096	0.01367	0.005004	0.009158	0.01049
beta-Alanine	0.001981	0.00159	0.02586	0.01648	0.3291	0.3084	0.3659	0.3338	0.03524	0.02448	0.006242	0.08164	0.05228	0.07206	0.08827	0.07518	0.08635	0.07843	0.04796	0.08244	0.03161	0.1628	0.05331	0.1134	0.0995	0.04862	0.03509	0.09019	0.1494	0.04407	0.1451	0.02671	0.04838	0.109	0.04054	0.05555	0.05904	0.2165	0.02469	0.08339	0.05445
beta-Alaninebetaine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003732	0.09569	0.09817	0.09239	0.09509	0.09892	0.09729	0.2173	0.1124	0.1519	0.04661	0.1424	0.06697	0.1022	0.1079	0.1454	0.05683	0.06859	0.07133	0.07049	0.07491	0.069	0.09852	0.07872	0.08722	0.0609	0.11	0.1201	0.0538	0.1049	0.1267
Isoglutamic acid	NA	NA	NA	NA	NA	NA	0.8027	0.8468	0.08486	0.06073	0.0008284	0.0365	0.03262	0.0328	0.03668	0.04128	0.04376	0.0261	0.01556	0.01719	0.04197	0.1028	0.05452	0.01147	0.02109	0.01874	0.0658	0.06103	0.0516	0.01317	0.01613	0.007355	0.05981	0.07114	0.05123	0.01081	0.01738	0.0137	0.01545	0.04515	0.04184
