Raw_file_name	Sample_ID	Sample_type	Species_strain	Broad_taxon	MS_run
211215_Std_4uMStdsMix2InMatrix_2.mzML	211215_Std_4uMStdsMix2InMatrix_2.mzML	Standard mix	NA	NA	NA
211215_Std_H2OinMatrix_1.mzML	211215_Std_H2OinMatrix_1.mzML	Standard mix	NA	NA	NA
211215_Std_H2OinMatrix_2.mzML	211215_Std_H2OinMatrix_2.mzML	Standard mix	NA	NA	NA
211218_Blk_MediaBlk_21_pos.mzML	211218_Blk_MediaBlk_21_pos.mzML	Blank	NA	NA	NA
211218_Blk_MediaBlk_3430_pos.mzML	211218_Blk_MediaBlk_3430_pos.mzML	Blank	NA	NA	NA
211218_Blk_MediaBlk_49_pos.mzML	211218_Blk_MediaBlk_49_pos.mzML	Blank	NA	NA	NA
211218_Blk_MediaBlk_71_pos.mzML	211218_Blk_MediaBlk_71_pos.mzML	Blank	NA	NA	NA
211218_Blk_MediaBlk_N_pos.mzML	211218_Blk_MediaBlk_N_pos.mzML	Blank	NA	NA	NA
211218_Blk_MediaBlk_O_pos.mzML	211218_Blk_MediaBlk_O_pos.mzML	Blank	NA	NA	NA
211218_Smp_1314_A_pos.mzML	211218_Smp_1314_A_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211218_Smp_1314_B_pos.mzML	211218_Smp_1314_B_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211218_Smp_1314_C_pos.mzML	211218_Smp_1314_C_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211218_Smp_1545_A_pos.mzML	211218_Smp_1545_A_pos.mzML	Sample	Micromonas pusilla CCMP1545	Pico-euks (Greens)	DinosGreens
211218_Smp_1545_B_pos.mzML	211218_Smp_1545_B_pos.mzML	Sample	Micromonas pusilla CCMP1545	Pico-euks (Greens)	DinosGreens
211218_Smp_1545_C_pos.mzML	211218_Smp_1545_C_pos.mzML	Sample	Micromonas pusilla CCMP1545	Pico-euks (Greens)	DinosGreens
211218_Smp_1771_A_pos.mzML	211218_Smp_1771_A_pos.mzML	Sample	Alexandrium tamarense CCMP1771	Dinoflagellates	DinosGreens
211218_Smp_1771_B_pos.mzML	211218_Smp_1771_B_pos.mzML	Sample	Alexandrium tamarense CCMP1771	Dinoflagellates	DinosGreens
211218_Smp_1771_C_pos.mzML	211218_Smp_1771_C_pos.mzML	Sample	Alexandrium tamarense CCMP1771	Dinoflagellates	DinosGreens
211218_Smp_2021_A_pos.mzML	211218_Smp_2021_A_pos.mzML	Sample	Lingulodinium polyedra CCMP2021	Dinoflagellates	DinosGreens
211218_Smp_2021_B_pos.mzML	211218_Smp_2021_B_pos.mzML	Sample	Lingulodinium polyedra CCMP2021	Dinoflagellates	DinosGreens
211218_Smp_2021_C_pos.mzML	211218_Smp_2021_C_pos.mzML	Sample	Lingulodinium polyedra CCMP2021	Dinoflagellates	DinosGreens
211218_Smp_3430_A_pos.mzML	211218_Smp_3430_A_pos.mzML	Sample	Ostreococcus lucimarinus CCMP3430	Pico-euks (Greens)	DinosGreens
211218_Smp_3430_B_pos.mzML	211218_Smp_3430_B_pos.mzML	Sample	Ostreococcus lucimarinus CCMP3430	Pico-euks (Greens)	DinosGreens
211218_Smp_3430_C_pos.mzML	211218_Smp_3430_C_pos.mzML	Sample	Ostreococcus lucimarinus CCMP3430	Pico-euks (Greens)	DinosGreens
211218_Smp_449_A_pos.mzML	211218_Smp_449_A_pos.mzML	Sample	Heterocapsa triquetra CCMP449	Dinoflagellates	DinosGreens
211218_Smp_449_B_pos.mzML	211218_Smp_449_B_pos.mzML	Sample	Heterocapsa triquetra CCMP449	Dinoflagellates	DinosGreens
211218_Smp_449_C_pos.mzML	211218_Smp_449_C_pos.mzML	Sample	Heterocapsa triquetra CCMP449	Dinoflagellates	DinosGreens
211218_Std_4uMStdsMix1InH2O_1.mzML	211218_Std_4uMStdsMix1InH2O_1.mzML	Standard mix	NA	NA	NA
211218_Std_4uMStdsMix1InMatrix_1.mzML	211218_Std_4uMStdsMix1InMatrix_1.mzML	Standard mix	NA	NA	NA
211218_Std_4uMStdsMix1InMatrix_2.mzML	211218_Std_4uMStdsMix1InMatrix_2.mzML	Standard mix	NA	NA	NA
211218_Std_4uMStdsMix2InH2O_1.mzML	211218_Std_4uMStdsMix2InH2O_1.mzML	Standard mix	NA	NA	NA
211218_Std_4uMStdsMix2InMatrix_1.mzML	211218_Std_4uMStdsMix2InMatrix_1.mzML	Standard mix	NA	NA	NA
211218_Std_4uMStdsMix2InMatrix_2.mzML	211218_Std_4uMStdsMix2InMatrix_2.mzML	Standard mix	NA	NA	NA
211218_Std_H2OinMatrix_1.mzML	211218_Std_H2OinMatrix_1.mzML	Standard mix	NA	NA	NA
211218_Std_H2OinMatrix_2.mzML	211218_Std_H2OinMatrix_2.mzML	Standard mix	NA	NA	NA
211221_Blk_MediaBlk_1314P_pos.mzML	211221_Blk_MediaBlk_1314P_pos.mzML	Blank	NA	NA	NA
211221_Blk_MediaBlk_A_pos.mzML	211221_Blk_MediaBlk_A_pos.mzML	Blank	NA	NA	NA
211221_Blk_MediaBlk_As9601_pos.mzML	211221_Blk_MediaBlk_As9601_pos.mzML	Blank	NA	NA	NA
211221_Blk_MediaBlk_C_pos.mzML	211221_Blk_MediaBlk_C_pos.mzML	Blank	NA	NA	NA
211221_Blk_MediaBlk_Nat_pos.mzML	211221_Blk_MediaBlk_Nat_pos.mzML	Blank	NA	NA	NA
211221_Smp_1314P_A_pos.mzML	211221_Smp_1314P_A_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211221_Smp_1314P_B_pos.mzML	211221_Smp_1314P_B_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211221_Smp_1314P_C_pos.mzML	211221_Smp_1314P_C_pos.mzML	Sample	Amphidinium carterae CCMP1314	Dinoflagellates	DinosGreens
211221_Smp_7803_B_pos.mzML	211221_Smp_7803_B_pos.mzML	Sample	Synechococcus sp. 7803	Cyanos	Cyanos
211221_Smp_7803_F_pos.mzML	211221_Smp_7803_F_pos.mzML	Sample	Synechococcus sp. 7803	Cyanos	Cyanos
211221_Smp_8102_A_pos.mzML	211221_Smp_8102_A_pos.mzML	Sample	Synechococcus sp. 8102	Cyanos	Cyanos
211221_Smp_8102_F_pos.mzML	211221_Smp_8102_F_pos.mzML	Sample	Synechococcus sp. 8102	Cyanos	Cyanos
211221_Smp_8501_B_pos.mzML	211221_Smp_8501_B_pos.mzML	Sample	Crocosphaera watsonii WH8501	Cyanos	Cyanos
211221_Smp_8501_C_pos.mzML	211221_Smp_8501_C_pos.mzML	Sample	Crocosphaera watsonii WH8501	Cyanos	Cyanos
211221_Smp_8501_D_pos.mzML	211221_Smp_8501_D_pos.mzML	Sample	Crocosphaera watsonii WH8501	Cyanos	Cyanos
211221_Smp_As9601_A_pos.mzML	211221_Smp_As9601_A_pos.mzML	Sample	Prochlorococcus AS9601	Cyanos	Cyanos
211221_Smp_As9601_B_pos.mzML	211221_Smp_As9601_B_pos.mzML	Sample	Prochlorococcus AS9601	Cyanos	Cyanos
211221_Smp_As9601_C_pos.mzML	211221_Smp_As9601_C_pos.mzML	Sample	Prochlorococcus AS9601	Cyanos	Cyanos
211221_Smp_MED4_D_pos.mzML	211221_Smp_MED4_D_pos.mzML	Sample	Prochlorococcus marinus MED4	Cyanos	Cyanos
211221_Smp_MED4_E_pos.mzML	211221_Smp_MED4_E_pos.mzML	Sample	Prochlorococcus marinus MED4	Cyanos	Cyanos
211221_Smp_MED4_F_pos.mzML	211221_Smp_MED4_F_pos.mzML	Sample	Prochlorococcus marinus MED4	Cyanos	Cyanos
211221_Smp_Nat_A_pos.mzML	211221_Smp_Nat_A_pos.mzML	Sample	Prochlorococcus NATL2A	Cyanos	Cyanos
211221_Smp_Nat_B_pos.mzML	211221_Smp_Nat_B_pos.mzML	Sample	Prochlorococcus NATL2A	Cyanos	Cyanos
211221_Smp_Nat_C_pos.mzML	211221_Smp_Nat_C_pos.mzML	Sample	Prochlorococcus NATL2A	Cyanos	Cyanos
211221_Std_4uMStdsMix1InH2O_1.mzML	211221_Std_4uMStdsMix1InH2O_1.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix1InH2O_2.mzML	211221_Std_4uMStdsMix1InH2O_2.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix1InMatrix_1.mzML	211221_Std_4uMStdsMix1InMatrix_1.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix1InMatrix_2.mzML	211221_Std_4uMStdsMix1InMatrix_2.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix2InH2O_1.mzML	211221_Std_4uMStdsMix2InH2O_1.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix2InH2O_2.mzML	211221_Std_4uMStdsMix2InH2O_2.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix2InMatrix_1.mzML	211221_Std_4uMStdsMix2InMatrix_1.mzML	Standard mix	NA	NA	NA
211221_Std_4uMStdsMix2InMatrix_2.mzML	211221_Std_4uMStdsMix2InMatrix_2.mzML	Standard mix	NA	NA	NA
211221_Std_H2OinMatrix_1.mzML	211221_Std_H2OinMatrix_1.mzML	Standard mix	NA	NA	NA
211221_Std_H2OinMatrix_2.mzML	211221_Std_H2OinMatrix_2.mzML	Standard mix	NA	NA	NA
220104_Blk_MediaBlk_C_pos.mzML	220104_Blk_MediaBlk_C_pos.mzML	Blank	NA	NA	NA
220104_Blk_MediaBlk_H_pos.mzML	220104_Blk_MediaBlk_H_pos.mzML	Blank	NA	NA	NA
220104_Blk_MediaBlk_LInoSi_pos.mzML	220104_Blk_MediaBlk_LInoSi_pos.mzML	Blank	NA	NA	NA
