mz_rt	190715_Blk_KM1906U14-Blk_C.mzML	190715_Poo_TruePooFK180310_Full1.mzML	190715_Poo_TruePooFK180310_Full2.mzML	190715_Poo_TruePooFK180310_Full3.mzML	190715_Poo_TruePooFK180310_Half1.mzML	190715_Poo_TruePooFK180310_Half2.mzML	190715_Poo_TruePooFK180310_Half3.mzML	190715_Smp_FK180310S62C1-25m_A.mzML	190715_Smp_FK180310S62C1-25m_B.mzML	190715_Smp_FK180310S62C1-25m_C.mzML	190715_Smp_FK180310S62C1-DCM_A.mzML	190715_Smp_FK180310S62C1-DCM_B.mzML	190715_Smp_FK180310S62C1-DCM_C.mzML	190715_Smp_FK180310S64C1-25m_A.mzML	190715_Smp_FK180310S64C1-25m_B.mzML	190715_Smp_FK180310S64C1-25m_C.mzML	190715_Smp_FK180310S64C1-DCM_A.mzML	190715_Smp_FK180310S64C1-DCM_B.mzML	190715_Smp_FK180310S64C1-DCM_C.mzML	190715_Smp_FK180310S77C1-25m_A.mzML	190715_Smp_FK180310S77C1-25m_B.mzML	190715_Smp_FK180310S77C1-25m_C.mzML	190715_Smp_FK180310S77C1-DCM_A.mzML	190715_Smp_FK180310S77C1-DCM_B.mzML	190715_Smp_FK180310S77C1-DCM_C.mzML	190715_Smp_FK180310S80C1-25m_A.mzML	190715_Smp_FK180310S80C1-25m_B.mzML	190715_Smp_FK180310S80C1-25m_C.mzML	190715_Smp_FK180310S80C1-DCM_A.mzML	190715_Smp_FK180310S80C1-DCM_B.mzML	190715_Smp_FK180310S80C1-DCM_C.mzML	190715_Std_4uMStdsMix1InH2O_1.mzML	190715_Std_4uMStdsMix1InH2O_2.mzML	190715_Std_4uMStdsMix1InMatrix_1.mzML	190715_Std_4uMStdsMix1InMatrix_2.mzML	190715_Std_4uMStdsMix2InH2O_1.mzML	190715_Std_4uMStdsMix2InH2O_2.mzML	190715_Std_4uMStdsMix2InMatrix_1.mzML	190715_Std_4uMStdsMix2InMatrix_2.mzML	190715_Std_H2OinMatrix_1.mzML	190715_Std_H2OinMatrix_2.mzML
222.09726_9.69	0	0	14119.5394476654	0	0	0	31637.6047076672	0	13343.9674736628	26226.0403280382	10611.074224189	35463.3889302122	0	14828.8273688654	15265.2460428527	17263.6692063047	0	0	0	0	0	0	37047.3714254347	23810.2451236276	0	37908.0717737584	15894.3010886824	0	27158.5120263659	0	16832.4530683496	NA	NA	0	0	NA	NA	23678394.5843145	19253692.998146	61639.5630800656	0
223.09382_5.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19222.1378940735	30779.5481986622	0	0	11429.4776348062	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	93979283.5571303	164797630.330241	0	51209.6776633477
223.12464_1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	39793717.4984176	64901385.10299	0	0
227.11392_11.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10005.4142455967	0	0	0	0	0	NA	NA	0	0	NA	NA	4031861.60588715	15980062.7944213	0	0
227.11382_10.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10112.3436885963	0	0	0	0	0	NA	NA	17658.96846095	0	NA	NA	60825639.7548045	91849916.267516	0	40436.2510619841
232.11798_8.37	72194.3138364325	352221.201682693	792332.467008193	890840.994176204	89885.9545903611	877948.760566537	1142524.11231395	616227.804599817	1273490.08871765	627590.070338206	542678.846342135	781458.77791268	1124552.21502045	1163453.63452979	1164041.73098049	608379.651707492	726669.663522796	1254224.38572622	997834.081030743	1570157.73587933	1143005.86395605	1010033.9926659	610077.094119014	981034.107384919	1529229.07446992	1482474.22723415	442191.205186585	1170343.41474023	1130374.2383171	1220069.12725415	873826.57640234	NA	NA	320360.372808619	419732.634533246	NA	NA	11981958.1244324	12382842.5009878	83130.7738186925	286186.982430392
234.15907_3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	57222778.6351801	125347318.353707	NA	NA	0	0	0	0
236.14927_8.62	3962615.11119359	25252851.0024985	23363199.6090273	23944908.3239135	30990888.2926118	34959704.2836626	30975778.2582716	67236876.1309141	36818099.3311233	42151204.8934849	10437514.2949045	39684454.4160277	31220319.5506379	29460452.8869751	46674850.6204547	33185698.6353146	24801714.8707647	18639524.8748416	19145410.7941802	28085451.6624856	30595216.023266	24196763.9358684	11405444.3204234	16582178.4349929	15059406.9706661	36198052.0044712	54220499.0639272	33066565.5876515	18063049.2556663	16359193.2008619	23195217.0405581	NA	NA	117112509.862615	117434724.557451	NA	NA	124598754.22185	131657353.789021	126772289.658725	116349789.442193
241.12944_9.17	0	0	0	0	42486.7697264047	41647.2684461906	0	0	0	0	0	0	0	0	5695.65115948306	0	0	0	0	0	0	0	0	0	0	0	11167.1328465628	0	0	0	0	0	NA	0	0	14621773234.8597	NA	89570627.0312541	94349719.401403	0	0
241.12952_9.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5959.6837389061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	NA	NA	122237366.46954	182142937.985388	0	0
