"feat_id","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_height","log_sd_height","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","blank_found","med_SNR","med_cor","med_missed_scans","t_pval","smp_to_blk","shape_cor","area_cor","feat_class"
"FT026",76.0763270985797,3.50931529222869e-07,313.277038574219,9.66306745811351,115.999373026867,8.77754625757935,7.62760660999529,7.76417485312238,3.41050345226813,4.87878787878788,11.0606060606061,129,33,33,0.958333333333333,0.4,FALSE,22.9962193017688,0.843962358864797,40,0.155978110365758,2.33953088443696,0.996485357894675,0.999979473857732,"Good"
"FT027",76.0763590066157,3.91678129349861e-07,447.684936523438,15.7579254468364,31.8943498634059,5.4579903561815,5.61617373073403,5.88296210982083,1.09353663294958,7.21739130434783,13.0869565217391,309.739130434783,23,17,0.416666666666667,0.1,FALSE,2.51172032680766,0.179409399733633,4,0.0367347517818036,1.72284150370251,0,0.577647652318124,"Bad"
"FT028",87.0445798630695,3.07659524249445e-07,143.037620544434,10.511371961076,40.5341415405273,2.67366493848653,5.96514557475298,6.53978632315544,1.48771590425463,35,11,142,2,2,0,0.2,FALSE,2.77676224786027,0.0746477269665969,2,0.558812302696412,-0.0313063617669877,0,0.999757635228285,"Bad"
"FT029",87.0446011525675,3.14853376192267e-07,102.79415512085,9.77003136582723,45.6796073913574,1.03026535222003,5.43583856707882,5.79952753908049,0.650514997831991,35,13,88.5,2,2,0,0.2,FALSE,3.23261022917179,0.18416033055903,3,0.606991556006623,-0.0157132144767632,0,0.996713839305993,"Bad"
"FT030",87.0446120972108,3.700918547252e-07,7.15038871765137,1.41615447519699,27.775447756052,1.03400657618446,5.93214037983386,5.08095186579421,0,35,21,1,2,2,0,0.2,FALSE,3.79181878484931,-0.0389391157956553,6,0.202971009992945,0.0226463006186436,0.900332853768133,0.747400589196732,"Bad"
"FT031",87.0445935260344,2.94917929096576e-07,470.532958984375,12.4633989433962,38.1912231445312,0.931194568510807,5.07683574200198,5.39944946895275,0.150514997831991,35,13,541,2,2,0,0.2,FALSE,3.00738781862595,-0.0983521681112863,9,0.45477404059991,-0.0349146591165548,0,0.930874190742873,"Bad"
"FT032",87.044569680443,2.99574312732757e-07,540.270935058594,10.6631060820776,55.0894303094773,4.35060237825028,5.4442322135972,5.72551735343991,0.301029995663981,38,11,604.333333333333,3,2,0,0.2,FALSE,6.15561990332202,0.672198460314626,19,0.00247985069214321,0.459163260680232,0,0.974651908947197,"Bad"
"FT033",87.044601321059,2.68028370953748e-07,404.263061523438,17.3411284947961,66.7867126464844,1.69516853830142,5.53846940598207,6.00004033293835,0.72357901567111,35,11,451,2,2,0,0.2,FALSE,3.02698368534405,0.0988250989903286,14,0.568815452504707,-0.0395835116028034,0,0.998958955114736,"Bad"
"FT034",90.0918208379216,3.86944291329806e-07,296.613586425781,15.4596814678446,79.9149687232041,2.14861240611844,6.87142585147437,7.17445591250863,3.24992814403644,24.6666666666667,11,327,6,6,0,0.6,FALSE,12.3342823657082,0.0496069393872301,18,0.159130278385031,0.544125977687804,0.703641364617654,0.999890462782912,"Bad"
"FT035",90.0918524072421,3.36586378450923e-07,541.525512695312,6.8772758844068,34.21760224133,2.39751733916416,5.11025830629948,4.56064698503515,0.466890750230186,26,11.4,615.2,5,5,0,0.5,FALSE,4.53814939213674,-0.336098503835386,3,0.476204894941272,-0.239027569445574,0,0,"Bad"
"FT036",90.0918811861945,3.35812591730414e-07,19.2925181388855,6.65203316343539,39.4398098747905,3.73524831164128,5.32433368227669,5.37786844315761,0.766208054934643,18.5,18.5,5.5,4,4,0,0.4,FALSE,4.35992613232509,-0.00670296310444022,4,0.493816470028576,-0.00428358436042264,0,0,"Bad"
"FT037",98.0717142246089,3.25272369217127e-07,132.871780395508,7.59683427600081,40.9433248610724,5.82403095689737,5.44006916845738,5.43481659681324,1.06056213626262,22,19.5714285714286,126.285714285714,7,6,0,0.5,FALSE,4.19882309661296,0.642009266660118,0,0.682272385485913,-0.176215677382307,0,0.575595752524501,"Bad"
"FT038",98.0717287821598,3.7511921002928e-07,1290.72119140625,6.95292299653952,21.9881829982851,6.78118103252773,7.29814435705081,6.88943294485548,3.01508934865655,23,11,1404.14285714286,7,7,0,0.5,FALSE,2.34811664176697,-0.208363751349445,13,0.829725997982444,0.606571077686361,0.994756990276309,0.901300472457043,"Bad"
"FT039",104.070961810579,3.58131595585419e-07,412.336212158203,10.2015024932664,76.6358367175591,1.77695626039291,6.71183266648102,7.09680448566455,2.11052049503873,24.75,11,457,4,4,0,0.4,FALSE,6.08863636168353,0.794145093725822,3,0.542776017828546,-0.195794210273302,0.512039334932653,0.999865275867471,"Bad"
"FT040",104.071001186439,3.64622464682498e-07,134.582412719727,5.02969569244567,62.761480005776,6.00895368568084,5.89245849986746,5.37698860375514,0.225772496747986,24.75,33,113.5,4,4,0,0.4,FALSE,5.33474264690229,0.762222822331861,0,0.788710251880675,-0.222511252693281,0.481149012071419,0.994399134341659,"Bad"
"FT041",104.070987329812,3.54996146032565e-07,616.643951416016,8.11067831694854,57.8661268280774,1.3161924104095,6.32508247917332,6.53978552394446,1.55829473318511,24.75,11,692.75,4,4,0,0.4,FALSE,9.35444145998621,0.859453551204922,1,0.418716322730889,0.0997828756134459,0.709172056410014,0.998919576386441,"Bad"
"FT042",104.070980287072,3.54198745294282e-07,56.6257934570312,19.1781614703637,91.4711177756147,0.603886788024988,5.75921801685422,5.31216973005587,0,27.6666666666667,41,5,3,3,0,0.3,FALSE,11.1705331583689,0.120133864343957,5,0.808242024209307,-0.323275058710597,0.317002794695371,0.993372591502484,"Bad"
"FT043",104.07102822635,3.42275873149151e-07,550.628845214844,13.3699385784369,46.5137329101562,0.00357574346987881,5.59769750429313,5.48542092180911,0,30.5,14,622,2,2,0,0.2,FALSE,6.66786446178146,0.391130694306868,2,0.728010893862838,-0.300633992975942,0,0.956909744190154,"Bad"
"FT044",104.070977393868,3.67975849721615e-07,476.860855102539,5.0771639783959,42.7762756347656,0.29824020677682,5.94975868502614,5.43782852324747,0.539590623023812,30.5,11,552.5,2,2,0,0.2,FALSE,6.48434726365964,0.563932320225692,-1,0.758135498953468,-0.228544421129497,0.670219878038045,0.982357085982916,"Bad"
"FT045",104.107382318923,3.65050010490051e-07,814.117919921875,9.97410655229547,31.532470703125,1.60903006447004,4.53207142712475,4.77801990032075,0.796388694788178,21.3333333333333,12.3333333333333,438.333333333333,3,8,0.0833333333333334,0.4,FALSE,0.547531254883213,0,27,0.321213313530276,0.821669615553961,0,0,"Bad"
