"feature","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_area","log_sd_area","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","pooled_cv","pooled_cv_rob"
"FT0080",73.0654855759051,0.342304304457867,628.518859863281,22.7197603815593,73.2672220865885,6.94832420373183,6.78252146195815,0.341342745695524,0.418424168367769,168.333333333333,30.3333333333333,644.333333333333,1.02439024390244,0.0487804878048781,0.0833333333333334,0,0.808341702798975,0.334627610981439
"FT0081",73.0654903449844,0.349010645367829,658.276611328125,7.77170415514565,25.4822082519531,0.00489276348836471,6.33243674372278,0.347418701125938,0.477121254719662,163.5,11,705,1,0.0487804878048781,0.0833333333333334,0,0.778037311402228,0.304216138828292
"FT0082",73.0654933918987,0.339599518633602,364.406661987305,8.82847491552192,27.0732574462891,1.19439726603936,6.42683759930038,0.279990614179288,0.477121254719662,163.5,11,382,1,0.0487804878048781,0.0833333333333334,0,0.754278905431549,0.271526531245682
"FT0083",73.0654949187291,0.321186397514007,419.335098266602,9.97231253403578,36.0873565673828,0.118767227521958,6.52287716858712,0.313011420224234,0.477121254719662,163.5,13,436.5,1,0.0487804878048781,0.0833333333333334,0,0.768773724805074,0.276829085883057
"FT0084",73.0654852010179,0.356171659394822,1027.84677124023,11.6828984266906,42.1116027832031,0.505196596002936,6.55090706399175,0.356547913927118,0.389075625191822,163.5,14,1093.5,1,0.0487804878048781,0.0833333333333334,0,0.765891718763041,0.225638867503502
"FT0085",73.0654579782338,0.344421309483358,322.726943969727,6.89717781309338,23.9058532714844,0.683649396538815,6.38027469421684,0.269798916712913,0.477121254719662,163.5,11,338.5,1,0.0487804878048781,0.0833333333333334,0,0.753634976420345,0.284062646185959
"FT0086",73.0654704297091,0.327639647130457,1181.69860839844,13.6806814532601,47.6663074028201,5.73474867210523,6.57203076389123,0.396147686203718,0.551070837925115,161.333333333333,24.3333333333333,1251.33333333333,1,0.0731707317073171,0.125,0,0.693357813284897,0.41490833518463
"FT0087",73.0654832518255,0.333182032250126,283.492858886719,8.27008053452379,28.4437866210938,0.0672499081978162,6.4644530338598,0.27451560071181,0.477121254719662,163.5,11,296,1,0.0487804878048781,0.0833333333333334,0,0.782880127929446,0.34772268859713
"FT0088",73.0766908963287,0.337256569002158,1291.07788085938,6.91040620801843,21.2851830459223,6.00318839681066,6.57624045379975,0.442910576216366,2.21719623161151,191.333333333333,11,832.666666666667,1,0.0731707317073171,0,0.3,0.60014198351927,0.663182798278181
"FT0089",74.0607079698449,0.355856199479448,1292.65283203125,7.11435159392721,27.8930783155488,11.7326432282239,6.6906250059244,0.400292182319242,2.02416660374137,187.777777777778,13.4444444444444,1399.88888888889,1,0.219512195121951,0,0.8,0.565589229294423,0.208978819254999
