"feature","mean_mz","sd_ppm","mean_rt","sd_rt","mean_pw","sd_pw","log_mean_area","log_sd_area","sn","f","scale","lmin","feat_npeaks","n_found","samps_found","stans_found","pooled_cv","pooled_cv_rob","med_SNR","med_cor","max_SNR","max_cor","medtop3_cor","log_med_cor","med_missed_scans","smp_to_blk","smp_to_std","iso_shape_cor","iso_area_cor","feat_class"
"FT0013",61.0404026130377,0.374331320515025,473.652679443359,7.65230703809431,68.2159118652344,4.5306815380805,7.56220985942963,0.0807640165169837,0.595052810427901,174.75,25,485.5,1,0.0975609756097561,0.166666666666667,0,0.179373009720074,0.207249838360486,6.954397461871,0.789259775913295,9.74042291833837,0.858865622935074,0.855108645308891,-0.676252562485768,0,-0.066797476300785,0.0498432827017162,-0.0899510804150897,-0.826009105501815,"Bad"
"FT0014",62.0607872779342,0.390611114912969,604.637385878906,21.6586150695762,74.3942611667132,26.2465699150982,8.44339479491673,0.178309147951081,0.576701992938684,226.403846153846,20.8846153846154,628.615384615385,1.36585365853659,0.902439024390244,1,0.6,0.33873885936556,0.314951028370232,16.1174086626124,0.655874226453019,20.7192549476082,0.937845148801791,0.933959598875131,-0.463282799363792,-38.5,0.0386074147854501,-0.113420663114766,-1.44492757918567,-3.0119461150079,"Bad"
"FT0015",62.0607901347459,0.377670758026087,746.46923828125,15.4649301176899,67.1600110384807,17.05290085009,8.39978653707509,0.143335419564541,0.386696013582961,232.810810810811,23.3783783783784,778.486486486486,1.14634146341463,0.75609756097561,1,0,0.349857524191286,0.371234810050067,10.095947979101,0.612740728393506,15.4849443071915,0.792422726580936,0.729544026352658,-0.41199817573961,-2,-0.214440583669048,-0.0721836380125232,-1.14904308664553,-2.98970240939755,"Bad"
"FT0016",62.060764361539,0.392328434123283,62.8972702026367,18.493700653265,102.075724566855,6.00577652910282,8.36560992849632,0.143957995343051,0,192.142857142857,41.8571428571429,13.5714285714286,1,0.170731707317073,0.166666666666667,0.3,0.463668650928938,0.415938436605091,12.7962758224661,0.133540583927422,17.3300982861701,0.415521781395045,0.368391768085067,-0.0622517743101364,1,-0.205530538871285,-0.163052155338789,-0.591512907782276,-2.76353141098119,"Bad"
"FT0017",62.0607619105275,0.37160679396136,135.496315002441,4.27253370572489,37.5874916634909,2.98508005816547,8.10572032115363,0.125722476583894,0.150514997831991,180.75,16.5,128.25,1,0.0975609756097561,0,0.4,0.392148144679178,0.500258992453466,4.45211422722129,0.736972074100714,6.11000128747213,0.83745789431024,0.828380627863219,-0.579998139646684,0,-0.154209696993723,-0.144663160953905,-0.472736693771243,-2.52825583867741,"Bad"
"FT0021",62.9824704269018,0.364228716047314,340.348449707031,8.36360568671643,43.0821880961573,12.8520019312492,6.60615753770286,0.71777978556252,2.75355840871407,62.0476190476191,17.7619047619048,356.333333333333,1.04878048780488,0.463414634146341,0.458333333333333,0.4,1.21864273765741,1.38992582137134,3.35563653135026,0.36168987613134,9.14923171391215,0.811244840676475,0.7972226520217,-0.194968267421319,2,1.27582384603075,0.981239820493793,1,1,"Bad"
"FT0022",62.9824686376952,0.33924228442935,227.364837646484,7.7535836284886,35.5115272885277,9.5253286618563,6.72922830964023,0.667973870376819,2.90163035299911,61.1052631578947,15.2105263157895,228.736842105263,1.02439024390244,0.439024390243902,0.458333333333333,0.4,1.02817865775172,1.41380251457801,2.90091987338328,0.334608419931403,6.42080480210919,0.688707378739466,0.660857626523101,-0.176922699038105,1,1.13543321614787,0.71273019506244,1,1,"Bad"
"FT0023",62.9824672143982,0.369869338356377,259.116058349609,7.17597998713621,32.8722908383324,8.74397750649901,6.63809191456941,0.706620361562415,2.93079070446599,62.2941176470588,13.7058823529412,269.117647058824,1.02439024390244,0.390243902439024,0.375,0.3,1.01085587070346,1.40792678025474,2.83589794042045,0.401477343355869,5.80160391262916,0.678990276864641,0.605775928547615,-0.222919405041555,1,1.26871037872241,0.936101413414122,1,1,"Bad"
"FT0024",62.9824649158541,0.340944447761811,162.041305541992,12.7217461014682,33.326772261639,5.86942538115002,6.84321524771789,0.715201560139233,3.25223345652466,60.0384615384615,12.1538461538462,169.923076923077,1.19512195121951,0.439024390243902,0.458333333333333,0.3,0.963482800847337,1.42679923357692,2.98356262454791,0.186004697454534,6.30703639305564,0.803239968388749,0.761825004515321,-0.089378101357076,0,1.33373015158062,0.745269309948776,1,1,"Bad"
"FT0025",62.9824763849753,0.330468971229767,409.100219726562,13.9444886956814,46.1723876953125,13.1777535272724,6.46740677396677,0.774847521297821,2.67688949677935,58.5555555555556,16.3333333333333,429.814814814815,1.21951219512195,0.439024390243902,0.458333333333333,0.3,0.986367278017212,1.40329622659467,3.87770967211161,0.464755890056763,10.1327670356154,0.939013845036801,0.712670822029466,-0.271448103170796,2.5,1.41110841775821,1.32689570879778,1,1,"Bad"
