"feature","med_SNR","med_cor","max_SNR","max_cor","log_med_cor"
"FT0920",5.78451576103895,0.132800776353401,10.4469995122568,0.441308062944078,-0.0618811196042917
"FT0921",7.35004458165806,0.542164143251301,10.8614080218608,0.670947331773663,-0.339290197292134
"FT0922",16.6632183146648,0.895059261901457,22.7066642407035,0.934741382971112,-0.97905588552555
"FT0923",2.14841254553455,0.254642271360241,3.56584986302576,0.674259845180617,-0.127635240961115
"FT0924",12.1211834280413,0.943077770459284,22.4470430324663,0.988390291730365,-1.24471809772572
"FT0925",17.1169296122261,0.949378834011461,27.4792814724354,0.986082859964015,-1.29566785568988
"FT0926",16.08182786715,0.935809776071017,22.4208371286099,0.966069676703901,-1.1925311092674
"FT0927",15.8818441103402,0.9476879731684,24.834927876599,0.982531908352452,-1.28139845288927
"FT0928",12.4305648509363,0.952086978168918,18.3381472985574,0.965394848070216,-1.31954643771672
"FT0929",13.4793113761372,0.823409675107301,18.3456579341162,0.952842514921101,-0.75303309442106
"FT0930",7.83645158990979,0.940563172748243,16.7155600986432,0.975546899166422,-1.22594438134422
"FT0931",15.3561015209652,0.716204149760322,18.9653913810924,0.950233379027616,-0.546993959235082
"FT0932",10.4969499976688,0.793681592437738,17.2605338641276,0.952817516866255,-0.685462022894117
"FT0933",4.41071967765421,0.591907277847619,10.0777702853279,0.966606344337384,-0.389241150282462
"FT0934",15.6614778528628,0.967187306058194,20.3187696234477,0.985693685411225,-1.48395811231337
"FT0935",14.564136349339,0.388383432690718,20.5820245831188,0.875159255316576,-0.213520759045278
"FT0936",16.5639946067595,0.914648347810021,24.2734799832699,0.958546681252106,-1.068788067636
"FT0937",13.9593942647949,0.375234032415587,17.6353674059509,0.845712381058366,-0.204282635489335
"FT0938",15.3598328048074,0.934542573641882,20.4054794456651,0.976579933796099,-1.18404107419515
"FT0939",18.0989416625447,0.949310084603418,25.5306480521109,0.979639426535079,-1.29507843363018
"FT0940",14.5066695180586,0.934013905674477,25.8120051611161,0.96780560465818,-1.18054757648818
"FT0941",4.54283243197625,0.231961170099228,6.806993136555,0.485317026965932,-0.114616822695907
