"feature","shape_cor","area_cor"
"FT0061",-0.165530383084146,-0.779779322511256
"FT0062",-0.0798990690855618,-1.44638896312592
"FT0063",-0.215093482151925,-1.12570105489785
"FT0064",-0.0390387492234863,-0.760488349551898
"FT0065",-0.0665657676832999,-0.983473131511868
"FT0066",-0.0551150585269931,-0.912636856155981
"FT0067",-0.134066919144528,-1.18479273217676
"FT0068",-0.0664263697122009,-1.1506835632301
"FT0069",-0.145584561531308,0
"FT0070",-0.115932954640499,-0.976153419035098
"FT0071",-0.0595055853370815,-1.00319491017372
"FT0072",-0.10377241356936,-0.785625385204823
"FT0073",-0.0304711989329685,-0.965211660205201
"FT0074",-0.414893942798261,0
"FT0075",-0.0570883046854365,-2.4197595809748
"FT0076",-2.49120910936635,-1.97321977124314
"FT0077",-0.0463815208424378,-1.64166070165611
"FT0078",-0.0636468187291299,-1.25722722078233
"FT0079",-0.0680560592938082,-1.65005539449262
"FT0080",-0.0385597531163599,-1.36296664286507
"FT0081",-0.00572790472633243,-1.89576950610589
"FT0082",-0.0921832765331974,-1.2564069266888
"FT0083",-0.0347011154689939,-1.48604491188218
"FT0084",-0.0872862253582934,-1.50239110100572
"FT0085",-0.0204765568934011,-1.41456681074684
"FT0086",-0.105256910801474,-1.54458055258683
"FT0087",0.0109848250223894,-1.46237529439097
"FT0088",-1.45166872661046,-1.74078897213527
"FT0089",-0.845477136895007,-2.31128501189166
"FT0090",-0.0811982930687342,0
"FT0091",0,0
"FT0092",-1.63130943412918,-1.6176277442831
"FT0093",-0.241470025237674,0
"FT0094",-0.271322089486049,-1.33191661090669
"FT0095",-1.80251649413537,-3.04515426047446
"FT0096",-2.41258299336252,-3.2874108344605
"FT0097",-0.423471648582897,-2.69891622794843
"FT0098",-1.09458756857381,-1.7267381354341
"FT0099",-0.652554811368064,-1.42452466048335
"FT0100",-0.318016133340768,-2.95214987277786
"FT0101",-2.47965625989988,-4.72557789876777
"FT0102",-2.39320498924089,0
"FT0103",-0.503958313109259,-2.38532174915573
"FT0104",0,0
"FT0105",0,0
"FT0106",-0.987183117157789,-2.14937025973977
"FT0107",-0.402231399672403,-2.89791836268469
"FT0108",-0.210542679443173,-2.88107118355669
"FT0109",-0.204900192483939,-3.00236614575284
"FT0110",-0.691310390664015,-3.11881915952176
"FT0111",-0.15315398401185,-2.50110035194753
"FT0112",-1.16401748043458,-2.30895020957812
"FT0113",0,0
"FT0114",0,0
"FT0115",0,0
"FT0116",-0.784946208623842,-3.10166726509173
"FT0117",-0.95143723231195,-1.24309255257282
"FT0118",-0.723196401495743,-2.40459779697622
"FT0119",-0.504204855627258,-1.75882250257541
"FT0120",0,0
"FT0121",-1.22885704778476,-3.65640202157134
"FT0122",0,0
"FT0123",0,0
"FT0124",0,0
"FT0125",0,0
"FT0126",0,0
