"feature","med_missed_scans"
"FT0534",5
"FT0535",34
"FT0536",2
"FT0537",10
"FT0538",21
"FT0539",28
"FT0540",4
"FT0541",5
"FT0542",31
"FT0543",24
"FT0544",38
"FT0545",29
"FT0546",32
"FT0547",40
"FT0548",34
"FT0549",30
"FT0550",17
"FT0551",9
"FT0552",20
"FT0553",7
"FT0554",35
"FT0555",20.5
"FT0556",16
"FT0557",22
"FT0558",41.5
"FT0559",13.5
"FT0560",8.5
"FT0561",7
"FT0562",3
"FT0563",5
"FT0564",41
"FT0565",29
"FT0566",22
"FT0567",1
"FT0568",15
"FT0569",0
"FT0570",2
"FT0571",8
"FT0572",22
"FT0573",0
"FT0574",29
"FT0575",6
"FT0576",2
"FT0577",19
"FT0578",12
"FT0579",11
"FT0580",10
"FT0581",2
"FT0582",4
"FT0583",-1
"FT0584",0
"FT0585",-1
"FT0586",3
"FT0587",0
"FT0588",12
"FT0589",54
"FT0590",54.5
"FT0591",13.5
"FT0592",31
"FT0593",0
"FT0594",0
"FT0595",42.5
"FT0596",0
"FT0597",-2
"FT0598",35
"FT0599",61
"FT0600",29.5
"FT0601",39
"FT0602",44
"FT0603",6
"FT0604",18
"FT0605",3
"FT0606",1
"FT0607",23
"FT0608",17
"FT0609",17
"FT0610",20
"FT0611",0
"FT0612",4
"FT0613",1
"FT0614",4
"FT0615",3
"FT0616",-1
"FT0617",6
"FT0618",26
"FT0619",33
"FT0620",7
"FT0621",66
"FT0622",3
"FT0623",4
"FT0624",14.5
"FT0625",5
"FT0626",5
"FT0627",4
"FT0628",1
"FT0629",13
"FT0630",4.5
"FT0631",11
"FT0632",5
"FT0633",6
"FT0634",8.5
"FT0635",6
"FT0636",3
"FT0637",56
"FT0638",3
"FT0639",55
"FT0640",7
"FT0641",16
"FT0642",9
"FT0643",15
"FT0644",7
"FT0645",2
"FT0646",18
"FT0647",49.5
"FT0648",51
"FT0649",26
"FT0650",2
"FT0651",4
"FT0652",6
"FT0653",25
"FT0654",1
"FT0655",20
"FT0656",12
"FT0657",20
"FT0658",4
"FT0659",47
"FT0660",11
"FT0661",16.5
"FT0662",14
"FT0663",14
"FT0664",7
"FT0665",29
"FT0666",3
"FT0667",2
"FT0668",7
"FT0669",3
"FT0670",1
"FT0671",0
"FT0672",3
"FT0673",16
"FT0674",-1
"FT0675",-1
"FT0676",0
"FT0677",0
"FT0678",-1
"FT0679",-1
"FT0680",1
"FT0681",0
"FT0682",1
"FT0683",67
"FT0684",2
"FT0685",1
"FT0686",1
"FT0687",5
"FT0688",0
"FT0689",1
"FT0690",32
"FT0691",2
"FT0692",1
"FT0693",11
"FT0694",2
"FT0695",45
"FT0696",22
"FT0697",7
"FT0698",1
"FT0699",-2
"FT0700",2
"FT0701",2
"FT0702",6
"FT0703",-3
"FT0704",3
"FT0705",-1
"FT0706",1
"FT0707",1
"FT0708",-2
"FT0709",10
"FT0710",-2
"FT0711",0
"FT0712",2
"FT0713",-2
"FT0714",-1
"FT0715",0
"FT0716",0
"FT0717",11
"FT0718",18
"FT0719",18.5
"FT0720",28
"FT0721",20.5
"FT0722",27
"FT0723",69
"FT0724",3
"FT0725",7
"FT0726",15.5
"FT0727",15
"FT0728",3.5
"FT0729",23
"FT0730",10
"FT0731",4
"FT0732",1
"FT0733",8
"FT0734",13
"FT0735",1
"FT0736",2
"FT0737",47
"FT0738",15
"FT0739",3
"FT0740",56
"FT0741",56
"FT0742",22
"FT0743",35
"FT0744",4
"FT0745",39
"FT0746",12
"FT0747",20
"FT0748",8
"FT0749",1
"FT0750",23.5
"FT0751",18
"FT0752",23
"FT0753",33
"FT0754",1
"FT0755",7
"FT0756",7
"FT0757",16
"FT0758",12
"FT0759",12
"FT0760",1
"FT0761",2
"FT0762",2
"FT0763",1
"FT0764",2
"FT0765",35
"FT0766",0
"FT0767",6
"FT0768",13
"FT0769",21
"FT0770",2
"FT0771",3
"FT0772",1
"FT0773",5
"FT0774",3
"FT0775",3
"FT0776",4
"FT0777",3
"FT0778",2
"FT0779",10
"FT0780",4
"FT0781",5
"FT0782",29
"FT0783",16
"FT0784",33
"FT0785",22
"FT0786",7
"FT0787",6
"FT0788",10.5
"FT0789",16
"FT0790",8
"FT0791",8
"FT0792",24
"FT0793",10
"FT0794",1
"FT0795",4
"FT0796",33
"FT0797",0
"FT0798",-1
"FT0799",0
"FT0800",1
"FT0801",-2
"FT0802",0
"FT0803",10.5
"FT0804",1
"FT0805",0
"FT0806",8
"FT0807",44.5
"FT0808",31.5
"FT0809",63
"FT0810",5.5
"FT0811",55
"FT0812",6.5
"FT0813",24
"FT0814",0
"FT0815",8
"FT0816",30.5
"FT0817",5
"FT0818",1
"FT0819",3
"FT0820",1
"FT0821",9
"FT0822",1
"FT0823",3
"FT0824",23
"FT0825",11
"FT0826",11
"FT0827",26
"FT0828",37
"FT0829",6
"FT0830",12
"FT0831",12
"FT0832",3
"FT0833",1
"FT0834",0
"FT0835",-6
"FT0836",2
"FT0837",24
"FT0838",22
"FT0839",13
"FT0840",10
"FT0841",24
"FT0842",33
"FT0843",12
"FT0844",26
"FT0845",27
"FT0846",5
"FT0847",11
"FT0848",2
"FT0849",16
"FT0850",22
"FT0851",6
"FT0852",0
"FT0853",4
"FT0854",1
"FT0855",19
"FT0856",2
"FT0857",35
"FT0858",7
"FT0859",1
"FT0860",8
"FT0861",6
"FT0862",55
"FT0863",32.5
