"feature","smp_to_std"
"FT0109",-0.493023948307397
"FT0110",-1.01881808043094
"FT0111",-0.769851111663179
"FT0112",-0.358842273569746
"FT0113",-0.408301598249487
"FT0114",-0.532994728868654
"FT0115",-0.563509387769754
"FT0116",0.262877301627023
"FT0117",-0.205823512391603
"FT0118",-0.0433709913111091
"FT0119",-0.195929797502413
"FT0120",-0.073913111167879
"FT0121",-1.2543819945424
"FT0122",0.0658935801063499
"FT0123",-0.033173496281993
"FT0124",-0.334404600998113
"FT0125",-0.798445872857676
"FT0126",-0.188958198476872
"FT0127",-0.756704944480786
"FT0128",-0.773531753958778
"FT0129",-0.676865644607155
"FT0130",-1.4790933283894
"FT0131",-0.638964990939615
"FT0132",-0.753644768238999
"FT0133",-0.149879720709403
"FT0134",0.17737309789236
"FT0135",0.113313041568518
"FT0136",-0.367390238489006
"FT0137",0.116297077704312
"FT0138",-0.494144455558408
"FT0139",-0.23335218826707
"FT0140",-0.0136437266577766
"FT0141",-0.442852180671752
"FT0142",-0.620815594378202
"FT0143",-0.840918560900478
"FT0144",-0.495822578091393
"FT0145",-2.0418901589863
"FT0146",-1.29362871564661
"FT0147",-1.01895629127451
"FT0148",-0.0604828018880845
"FT0149",-0.842482514731527
"FT0150",-0.955676691604999
"FT0151",-1.41999182135956
"FT0152",0.0700116421430961
"FT0153",0.34262367590274
"FT0154",0.0986326258260898
"FT0155",0.219825166749677
"FT0156",0.219781626028537
"FT0157",-0.0734697626993918
"FT0158",0.0553216389091125
"FT0159",0.0586715204349648
"FT0160",0.299987265921382
"FT0161",-0.274235924393612
"FT0162",0.366749572603567
"FT0163",0.0958635472346381
"FT0164",0.269913610143982
"FT0165",0.366343607338996
"FT0166",0.350738253865059
"FT0167",0.288945902701714
"FT0168",0.338369705133604
"FT0169",-0.00444048128484683
"FT0170",0.394178565859544
"FT0171",0.421964783906155
"FT0172",0.474324401125974
"FT0173",0.43029282192749
"FT0174",0.425101351087525
"FT0175",0.122706734978951
"FT0176",-0.0824794592363007
"FT0177",0.0951215112338063
"FT0178",0.476136474799272
"FT0179",-0.763952339498515
"FT0180",-0.265124786880745
"FT0181",-0.759196364383347
"FT0182",0.215517460738512
"FT0183",-0.296651353243849
"FT0184",-1.28834429085511
"FT0185",-0.119806417761879
"FT0186",-0.0106312839043228
"FT0187",-0.0761871529247521
"FT0188",0.0263240041967745
"FT0189",0.0879759287217513
"FT0190",-0.176889336128751
"FT0191",-4.36715947560173
"FT0192",-0.0611221044877858
"FT0193",-0.850677119049652
"FT0194",3.53470070265769
"FT0195",-0.144248231493233
"FT0196",-0.286102536309192
"FT0197",-0.260631791744884
"FT0198",-0.186404060298355
"FT0199",0.700104370316653
"FT0200",0.344282648053493
"FT0201",0.04155459408554
"FT0202",0.147296019769689
"FT0203",-0.145098674890032
"FT0204",-4.36715947560173
"FT0205",-0.746678493940941
"FT0206",0.123575401130909
"FT0207",0.0749854966165002
"FT0208",-0.481130969658884
"FT0209",-0.0899207983450807
"FT0210",-0.162120266999751
"FT0211",-0.857398083497472
"FT0212",-0.775855030253278
"FT0213",0.244462475486517
"FT0214",-0.137311773398467
