"feature","filename","iso_cor","init_area","iso_area"
"FT004","190715_Smp_FK180310S77C1-25m_B.mzML",0,722123.647427291,0
"FT004","190715_Smp_FK180310S77C1-25m_C.mzML",0,364470.326024935,0
"FT004","190715_Smp_FK180310S77C1-25m_C.mzML",0,180683.313874356,0
"FT004","190715_Smp_FK180310S77C1-DCM_B.mzML",0,462169.580576524,0
"FT004","190715_Smp_FK180310S80C1-25m_A.mzML",0,172344.591376804,0
"FT004","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,14866.958588134,0
"FT004","190715_Blk_KM1906U14-Blk_C.mzML",0,10847.1808275506,0
"FT004","190715_Poo_TruePooFK180310_Full1.mzML",0,16376.2120547406,0
"FT004","190715_Poo_TruePooFK180310_Half1.mzML",0,11954.193583094,0
"FT004","190715_Poo_TruePooFK180310_Half3.mzML",0,94795.1759415977,0
"FT004","190715_Smp_FK180310S62C1-25m_A.mzML",0,14155.3790054345,0
"FT004","190715_Smp_FK180310S62C1-25m_B.mzML",0,23190.5055686915,0
"FT004","190715_Smp_FK180310S62C1-25m_C.mzML",0,184929.476608261,0
"FT004","190715_Smp_FK180310S62C1-DCM_A.mzML",0,38025.2309532575,0
"FT004","190715_Smp_FK180310S62C1-DCM_B.mzML",0,33186.5028584814,0
"FT004","190715_Smp_FK180310S64C1-25m_A.mzML",0,24350.3526860215,0
"FT004","190715_Smp_FK180310S77C1-25m_A.mzML",0,24716.8270164598,0
"FT004","190715_Smp_FK180310S77C1-DCM_A.mzML",0,29237.6507962337,0
"FT004","190715_Smp_FK180310S77C1-DCM_C.mzML",0,24465.293028459,0
"FT004","190715_Smp_FK180310S80C1-25m_B.mzML",0,19981.6870593801,0
"FT004","190715_Smp_FK180310S80C1-25m_C.mzML",0,18269.3413461149,0
"FT004","190715_Smp_FK180310S80C1-DCM_A.mzML",0,27638.3778681504,0
"FT004","190715_Smp_FK180310S80C1-DCM_B.mzML",0,19958.9806293268,0
"FT004","190715_Smp_FK180310S80C1-DCM_C.mzML",0,26277.5682245363,0
"FT004","190715_Std_4uMStdsMix1InH2O_1.mzML",0,14535.2372556678,0
"FT004","190715_Std_4uMStdsMix1InH2O_2.mzML",0,21053.0747559574,0
"FT004","190715_Std_4uMStdsMix1InMatrix_1.mzML",0,12095.1214967796,0
"FT004","190715_Std_4uMStdsMix1InMatrix_2.mzML",0,4840.85840248142,0
"FT004","190715_Std_4uMStdsMix2InH2O_1.mzML",0,13228.2781776331,0
"FT004","190715_Std_4uMStdsMix2InH2O_2.mzML",0,10464.2683224879,0
"FT004","190715_Std_4uMStdsMix2InMatrix_2.mzML",0,24347.8690403325,0
"FT004","190715_Std_H2OinMatrix_1.mzML",0,11245.002104617,0
"FT004","190715_Std_H2OinMatrix_2.mzML",0,51084.7879434638,0
"FT005","190715_Poo_TruePooFK180310_Full2.mzML",0,2164124.62012869,0
"FT005","190715_Poo_TruePooFK180310_Full3.mzML",0,403375.697044149,0
"FT005","190715_Poo_TruePooFK180310_Half2.mzML",0,1253249.6471363,0
"FT005","190715_Smp_FK180310S62C1-DCM_C.mzML",0,101107.890268713,0
"FT005","190715_Smp_FK180310S64C1-25m_B.mzML",0,729973.467376128,0
"FT005","190715_Smp_FK180310S64C1-25m_C.mzML",0,400330.314828128,0
"FT005","190715_Smp_FK180310S64C1-25m_C.mzML",0,316708.174810931,0
"FT005","190715_Smp_FK180310S64C1-DCM_A.mzML",0,260336.685816325,0
"FT005","190715_Smp_FK180310S64C1-DCM_B.mzML",0,276566.844714485,0
"FT005","190715_Smp_FK180310S64C1-DCM_C.mzML",0,122530.536146618,0
"FT005","190715_Smp_FK180310S64C1-DCM_C.mzML",0,99040.9183316566,0
"FT005","190715_Smp_FK180310S77C1-25m_B.mzML",0,1205187.34872705,0
"FT005","190715_Smp_FK180310S77C1-25m_C.mzML",0,1235735.49504611,0
"FT005","190715_Smp_FK180310S77C1-DCM_B.mzML",0,593921.887127966,0
"FT005","190715_Smp_FK180310S80C1-25m_A.mzML",0,151288.885471758,0
"FT005","190715_Std_4uMStdsMix1InH2O_1.mzML",0,26239.2003133073,0
"FT005","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,19768.3021295904,0
"FT005","190715_Std_4uMStdsMix2InMatrix_1.mzML",0,22259.1317470809,0
"FT005","190715_Blk_KM1906U14-Blk_C.mzML",0,13835.6594106564,0
"FT005","190715_Poo_TruePooFK180310_Full1.mzML",0,25165.2429917534,0
